"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","AGEA1"
"VT","(AGE)Please type in your age. 请输入您的年龄"
"HT","Header A"
"BT","value1.All Respondents"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","最近1个月内 Within one month",18.0
"PV",,5.21739130434783
"MK",," "
"RW","1-3个月内 Between 1-3 months",35.0
"PV",,10.1449275362319
"MK",," "
"RW","3-6个月内 Between 3-6 months",42.0
"PV",,12.1739130434783
"MK",," "
"RW","6-12个月内 Between 6-12 months",64.0
"PV",,18.5507246376812
"MK",," "
"RW","12个月以后 In 12 months or later",11.0
"PV",,3.18840579710145
"MK",," "
"RW","还不确定 Not sure yet",55.0
"PV",,15.9420289855072
"MK",," "
"RW","Missing",120.0
"PV",,34.7826086956522
"MK",," "
"TE"
"TB","Q5DA1"
"VT","(Q5d)You just said you have been to SHDR, please recall which one of below attractions is your favorite? (2 options)您提到曾经去过上海迪士尼度假区，请问您最喜欢以下哪项设施呢？您可以最多选择2个设施。 (最多选两项)"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","Ferris Wheel 摩天轮",20.0
"PV",,5.79710144927536
"MK",," "
"RW","Carousel  旋转木马",8.0
"PV",,2.31884057971015
"MK",," "
"RW","Soaring 翱翔?飞越地平线",11.0
"PV",,3.18840579710145
"MK",," "
"RW","Mine Train 七个小矮人矿山车",12.0
"PV",,3.47826086956522
"MK",," "
"RW","Tron 创极速光轮",15.0
"PV",,4.34782608695652
"MK",," "
"RW","Pirates 加勒比海盗沉落宝藏之战",16.0
"PV",,4.63768115942029
"MK",," "
"RW","Others 其他 （固定在倒数第二）",1.0
"PV",,0.289855072463768
"MK",," "
"RW","None of above 以上均无（排他）",0.0
"PV",,0.0
"MK",," "
"RW","Missing",297.0
"PV",,86.0869565217391
"MK",," "
"TE"
"TB","NEWS1A1"
"VT","(NEWS1)Have you heard of any of below news about SHDR? (MA) 请问您是否在任何地方听说过有关上海迪士尼乐园的以下消息呢？（多选）"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","New area (Disney.Pixels Toy Story) will open before summer 2018 新园区（迪士尼?皮克斯玩具总动园）将于2018年夏季前开幕",52.0
"PV",,15.0724637681159
"MK",," "
"RW","New SS Pass is on sale in March 新一季春夏季卡3月发售",36.0
"PV",,10.4347826086957
"MK",," "
"RW","New pricing will be applied in June 2018 2018年6月初将实行新的票价",76.0
"PV",,22.0289855072464
"MK",," "
"RW","Half-price campaign on 8th March 3月8日的半价活动",44.0
"PV",,12.7536231884058
"MK",," "
"RW","Spring campaign 春季的主题活动",37.0
"PV",,10.7246376811594
"MK",," "
"RW","None of above 都不知道 (排他)",105.0
"PV",,30.4347826086957
"MK",," "
"RW","Missing",75.0
"PV",,21.7391304347826
"MK",," "
"TE"
"TB","GENDERA1"
"VT","(GENDER)Are you…?(OCO) 请问您的性别是…?(单选)"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","Male 男性",171.0
"PV",,49.5652173913044
"MK",," "
"RW","Female 女性",174.0
"PV",,50.4347826086956
"MK",," "
"TE"
"TB","INCOMEA1"
"VT","(INCOME)Which of these income bands does your gross monthly household income fit into?  By gross, this means before tax, including bonus, salary and allowance, etc."
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","Lower than RMB 5,000 人民币5,000元以下",125.0
"PV",,36.231884057971
"MK",," "
"RW","RMB 5,000 to 7,999 人民币5,000-7,999",74.0
"PV",,21.4492753623188
"MK",," "
"RW","RMB 8,000 to 9,999 人民币8,000-9,999",41.0
"PV",,11.8840579710145
"MK",," "
"RW","RMB 10,000 to 11,999 人民币10,000-11,999",41.0
"PV",,11.8840579710145
"MK",," "
"RW","RMB 12,000 to 14,999 人民币12,000-14,999",18.0
"PV",,5.21739130434783
"MK",," "
"RW","RMB 15,000 -15999 人民币 15,000-15,999",15.0
"PV",,4.34782608695652
"MK",," "
"RW","RMB 16,000-19,999 人民币16,000-19,999",9.0
"PV",,2.60869565217391
"MK",," "
"RW","RMB 20,000-24,999 人民币20,000-24,999",4.0
"PV",,1.15942028985507
"MK",," "
"RW","RMB 25,000 and above 人民币25,000 或以上",18.0
"PV",,5.21739130434783
"MK",," "
"TE"
"TB","LOCALRES"
"VT","(LOCALRES)How long have you lived in this city?（OCO） 请问您在本市连续居住了多长时间？（单选）"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","More than two years 两年以上",284.0
"PV",,82.3188405797101
"MK",," "
"RW","One to two years   一到两年   ",14.0
"PV",,4.05797101449275
"MK",," "
"RW","Less than one year一年以下",47.0
"PV",,13.6231884057971
"MK",," "
"TE"
